assists,games,goals,id,key_passes,league,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,year,yellow_cards
0,38,0,7095,2,RFPL,0,0,Juan Musso,GK,0,0,Udinese,3420,0.04269908741116524,0,4.306882614269853,4.349581703543663,2021,1
1,31,0,7096,8,RFPL,0,3.2184843495488167,Omar Colley,D S,0,24,Sampdoria,2772,0.7359273852780461,3.2184843495488167,3.71983097307384,4.454728968441486,2021,10
1,27,0,7097,24,RFPL,0,1.396666495129466,Ronaldo Vieira,M S,1,31,Sampdoria,1823,0.8832433260977268,1.396666495129466,4.453230697661638,5.863912934437394,2021,11
0,3,0,7178,0,RFPL,0,0,Valon Berisha,S,0,0,Lazio,26,0,0,0.12584857642650604,0.12584857642650604,2021,0
0,3,0,7210,0,RFPL,0,0,Gianmarco Cangiano,S,0,0,Bologna,13,0,0,0,0,2021,0
3,16,0,7227,14,RFPL,0,0.10752242989838123,Matteo Scozzarella,M S,0,4,Parma Calcio 1913,944,0.7535359691828489,0.10752242989838123,1.4025218933820724,1.59254652261734,2021,2
0,1,0,7284,0,RFPL,0,0,Marco Brescianini,S,0,0,AC Milan,22,0,0,0,0,2021,0
1,24,0,7365,18,RFPL,0,1.9854493830353022,Lucas Paquetá,M S,0,33,AC Milan,1090,1.6612932626158,1.9854493830353022,3.660880420356989,6.497050344944,2021,7
0,1,0,7375,1,RFPL,0,0.4149073660373688,Roberto Piccoli,S,0,1,Atalanta,16,0.03419153392314911,0.4149073660373688,0.09769454598426819,0.5467934608459473,2021,0
0,2,0,7411,0,RFPL,0,0.0193169042468071,Nicolo Rovella,M S,0,1,Genoa,106,0,0.0193169042468071,0.08164095785468817,0.08164095785468817,2021,0
0,9,0,7413,3,RFPL,0,0.5925527745857835,Ibañez,D S,0,3,Roma,617,0.11606361716985703,0.5925527745857835,3.348297175951302,3.4099824400618672,2021,2
0,6,0,7473,1,RFPL,0,0.06586787849664688,Marko Jankovic,M S,0,1,SPAL 2013,107,0.052024293690919876,0.06586787849664688,0.017721014097332954,0.08358889259397984,2021,1
0,4,0,7581,4,RFPL,0,0.047419250942766666,Simone Muratore,M S,0,4,Juventus,167,0.14293751865625381,0.047419250942766666,0.4090768061578274,0.4759814850986004,2021,0
0,1,0,7611,0,RFPL,0,0,Nicolò Armini,S,0,0,Lazio,1,0,0,0,0,2021,0
0,3,0,7627,3,RFPL,0,0.05600063130259514,Andrea Ghion,S,0,1,Sassuolo,39,0.11715203151106834,0.05600063130259514,0.257692888379097,0.3136935234069824,2021,0
0,2,0,7910,0,RFPL,0,0.10159619152545929,Szymon Zurkowski,S,0,1,Fiorentina,7,0,0.10159619152545929,0,0.10159619152545929,2021,0
0,2,0,7911,0,RFPL,0,0,Aleksa Terzic,S,0,0,Fiorentina,5,0,0,0,0,2021,0
0,6,0,7919,0,RFPL,0,0.2431110218167305,Léo Duarte,D S,0,3,AC Milan,400,0,0.2431110218167305,0.9960265941917896,1.067867685109377,2021,2
