Match_ID,Match_date,team,Team_1,match_rank,short_date,h_a,xG lag 1,xG lag 2,xG lag 3,goals lag 1,goals lag 2,goals lag 3,win_rate,draw_rate,loss_rate,ppda_att,ppda_def,ppda_allowed_def,ppda_allowed_att,ppda_att_opp,ppda_def_opp,ppda_allowed_def_opp,ppda_allowed_att_opp,goals
3123,2016-12-11 00:00:00+00:00,Middlesbrough,Southampton,24.0,2016-12-11,a,1.9506408460438251,0.425251979380846,0.5614606980234385,1.0,2.0,0.0,0.4,0.4,0.2,225.0,27.0,28.0,186.0,239.0,22.0,17.0,271.0,0.0
3124,2016-12-11 00:00:00+00:00,West Ham,Liverpool,196.0,2016-12-11,a,0.9062809571623802,0.7493878062814474,1.8125627525150776,1.0,1.0,2.0,0.0,0.4,0.6,225.0,27.0,28.0,186.0,225.0,27.0,28.0,186.0,2.0
3124,2016-12-11 00:00:00+00:00,Liverpool,West Ham,196.0,2016-12-11,h,1.2653200374916196,2.024610148742795,1.6889763260260224,3.0,2.0,0.0,0.6,0.2,0.2,225.0,27.0,28.0,186.0,225.0,27.0,28.0,186.0,2.0
3125,2016-12-13 00:00:00+00:00,Leicester,Bournemouth,193.0,2016-12-13,a,2.6058302614837885,1.1541599528864026,2.047804072499275,4.0,1.0,2.0,0.2,0.2,0.6,177.0,20.0,25.0,200.0,,,,,0.0
3125,2016-12-13 00:00:00+00:00,Bournemouth,Leicester,137.0,2016-12-13,h,1.007042933255434,3.0767904138192534,2.049102262593806,2.0,4.0,1.0,0.4,0.0,0.6,177.0,20.0,25.0,200.0,328.0,23.0,11.0,151.0,1.0
3126,2016-12-13 00:00:00+00:00,Everton,Arsenal,193.0,2016-12-13,h,1.0967482514679432,1.6498519917950034,0.6151738353073597,2.0,1.0,0.0,0.0,0.4,0.6,177.0,20.0,25.0,200.0,306.0,21.0,21.0,121.0,2.0
3126,2016-12-13 00:00:00+00:00,Arsenal,Everton,195.0,2016-12-13,a,1.5802657576277852,3.036004152148962,2.8696984853595495,3.0,5.0,3.0,0.6,0.4,0.0,177.0,20.0,25.0,200.0,223.0,26.0,28.0,180.0,1.0
3127,2016-12-14 00:00:00+00:00,Middlesbrough,Liverpool,23.0,2016-12-14,h,0.5317490845918655,1.9506408460438251,0.425251979380846,0.0,1.0,2.0,0.2,0.4,0.4,177.0,20.0,25.0,200.0,198.0,12.0,21.0,313.0,0.0
3127,2016-12-14 00:00:00+00:00,Liverpool,Middlesbrough,195.0,2016-12-14,a,1.791336154565215,1.2653200374916196,2.024610148742795,2.0,3.0,2.0,0.4,0.4,0.2,177.0,20.0,25.0,200.0,,,,,3.0
3128,2016-12-14 00:00:00+00:00,Sunderland,Chelsea,23.0,2016-12-14,h,0.6732577886432409,1.4414354152977467,0.2910730168223381,0.0,1.0,0.0,0.6,0.0,0.4,177.0,20.0,25.0,200.0,133.0,17.0,26.0,183.0,0.0
